"search-number","evaluation","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","fitness","num-replicates","best-fitness-so-far"
"1","10","0","20","0","30","0","4","0","5","0","1","0","1","38.48656774671258","10","38.48656774671258"
"1","20","0","60","0","30","0","4","0","3","0","3","0","1","78.28164525946417","10","78.28164525946417"
"1","30","0","80","0","20","0","3","0","1","0","1","0","4","11.722046632440307","10","78.28164525946417"
"1","40","0","60","0","10","0","2","0","1","0","1","0","1","54.919756844816575","10","78.28164525946417"
"1","50","0","80","0","30","0","1","0","3","0","4","0","4","85.14224085498721","10","85.14224085498721"
"1","60","0","20","0","20","0","4","0","3","0","4","0","3","74.6689437921444","10","85.14224085498721"
"1","70","0","20","0","20","0","2","0","5","0","4","0","4","75.78061750072712","10","85.14224085498721"
"1","80","0","60","0","30","0","3","0","3","0","3","0","2","78.36936859379657","10","85.14224085498721"
"1","90","0","60","0","20","0","1","0","2","0","4","0","5","82.99822108575776","10","85.14224085498721"
"1","100","0","60","0","20","0","3","0","1","0","4","0","2","82.81024138281627","10","85.14224085498721"
"1","110","0","20","0","20","0","3","0","3","0","3","0","1","70.31251197096464","10","85.14224085498721"
"1","120","0","60","0","50","0","5","0","4","0","1","0","4","7.6765701026267354","10","85.14224085498721"
"1","130","0","20","0","20","0","2","0","3","0","5","0","2","79.35750944215113","10","85.14224085498721"
"1","140","0","60","0","10","0","4","0","3","0","1","0","1","53.07936719392758","10","85.14224085498721"
"1","150","0","20","0","30","0","4","0","4","0","4","0","3","73.75271914780053","10","85.14224085498721"
"1","160","0","60","0","20","0","3","0","2","0","2","0","4","13.622123507079433","10","85.14224085498721"
"1","170","0","40","0","40","0","1","0","4","0","2","0","3","66.67238782537619","10","85.14224085498721"
"1","180","0","80","0","20","0","3","0","5","0","5","0","2","87.57148395638778","10","87.57148395638778"
"1","190","0","40","0","50","0","3","0","3","0","3","0","4","19.546792132015067","10","87.57148395638778"
"1","200","0","80","0","10","0","4","0","4","0","3","0","1","82.70456417655411","10","87.57148395638778"
"1","210","0","40","0","20","0","2","0","3","0","3","0","2","75.5747401643894","10","87.57148395638778"
"1","220","0","60","0","50","0","4","0","3","0","3","0","4","18.028853120234086","10","87.57148395638778"
"1","230","0","20","0","10","0","1","0","2","0","3","0","5","24.658875614823124","10","87.57148395638778"
"1","240","0","40","0","30","0","3","0","5","0","5","0","3","81.82727260682691","10","87.57148395638778"
"1","250","0","80","0","10","0","1","0","4","0","1","0","3","65.4951586780836","10","87.57148395638778"
"1","260","0","80","0","30","0","3","0","1","0","3","0","3","23.073997278607195","10","87.57148395638778"
"1","270","0","20","0","10","0","3","0","5","0","1","0","1","41.40931181024126","10","87.57148395638778"
"1","280","0","60","0","30","0","2","0","1","0","4","0","4","22.943193710468627","10","87.57148395638778"
"1","290","0","40","0","10","0","1","0","4","0","1","0","2","50.80937714380771","10","87.57148395638778"
"1","300","0","40","0","30","0","1","0","3","0","3","0","4","73.6335809684621","10","87.57148395638778"
"1","310","0","80","0","40","0","3","0","4","0","5","0","1","86.9070107460067","10","87.57148395638778"
"1","320","0","40","0","30","0","3","0","3","0","3","0","3","72.06307494895745","10","87.57148395638778"
"1","330","0","60","0","40","0","1","0","5","0","3","0","4","79.63632928459813","10","87.57148395638778"
"1","340","0","40","0","20","0","1","0","4","0","4","0","3","80.69896233011094","10","87.57148395638778"
"1","350","0","40","0","30","0","3","0","3","0","1","0","3","6.728654334690072","10","87.57148395638778"
"1","360","0","40","0","20","0","5","0","5","0","4","0","3","78.64117413447504","10","87.57148395638778"
"1","370","0","60","0","20","0","1","0","3","0","3","0","4","80.40085341935794","10","87.57148395638778"
"1","380","0","20","0","30","0","2","0","1","0","2","0","1","21.401181596539274","10","87.57148395638778"
"1","390","0","80","0","40","0","3","0","4","0","1","0","3","25.679624591786574","10","87.57148395638778"
"1","400","0","60","0","50","0","3","0","5","0","3","0","3","76.62003345508646","10","87.57148395638778"
"1","410","0","40","0","10","0","1","0","3","0","4","0","3","80.59539398112281","10","87.57148395638778"
"1","420","0","80","0","10","0","4","0","4","0","4","0","4","85.25763783292106","10","87.57148395638778"
"1","430","0","60","0","20","0","3","0","4","0","1","0","4","12.611382702741745","10","87.57148395638778"
"1","440","0","40","0","50","0","5","0","3","0","1","0","3","4.5016964474630585","10","87.57148395638778"
"1","450","0","20","0","20","0","2","0","3","0","4","0","1","75.92836734667586","10","87.57148395638778"
"1","460","0","20","0","10","0","1","0","1","0","4","0","5","20.360639890238865","10","87.57148395638778"
"1","470","0","20","0","20","0","3","0","2","0","1","0","3","2.5468407137839892","10","87.57148395638778"
"1","480","0","60","0","10","0","3","0","3","0","3","0","5","23.506903928973372","10","87.57148395638778"
"1","490","0","80","0","30","0","3","0","2","0","4","0","4","58.43224699059705","10","87.57148395638778"
"1","500","0","60","0","20","0","2","0","5","0","5","0","3","85.14219293023898","10","87.57148395638778"
